Item_no,Description,BRANCH,QUANTITY_IN_PCS, UNIT_PRICE , AMOUNT ,MONTH
ITM02184,DREZ V GEL,MWIKI,1,499,499,APRIL
ITM06401,X TONE FORTE SYP 200ML,MWIKI,1,200,200,MARCH
ITM03735,LIOTON GEL 30MG,MWIKI,1,830,830,APRIL
ITM04146,MISO-KARE 3*4,MWIKI,1,29.58,29.58,MARCH
ITM05927,TIMOLOL 0 5% EYE DROPS,MWIKI,1,150.49,150.49,FEBRUARY
ITM06110,TUSICOF PAED 100ML,MWIKI,1,102.52,102.52,FEBRUARY
ITM06445,YESCORT SUSP 100ML,MWIKI,1,973.89,973.89,FEBRUARY
ITM06281,VIFEX SYP 100ML,MWIKI,2,219,438,FEBRUARY
ITM07520,SALBUTAMOL VENTOSAL 100ML,MWIKI,2,27.68,55.36,APRIL
ITM02391,EPICOGEL SUSP 180ML,MWIKI,3,316.77,950.31,JUNE
ITM00416,ANUSTAT OINTMENT 15G,MWIKI,3,449,"1,347.00",APRIL
ITM07500,DEXAMETHASONE GENTAMYCIN(PHARMADEXGENT) EYE/EAR DROPS 5ML,MWIKI,3,271.66,814.99,FEBRUARY
ITM09031,ETORICOXIB TORY 120MG 30'S,MWIKI,3,39.47,118.4,JUNE
ITM00129,ADOVAS SYP 100ML HERBAL,MWIKI,4,248.68,994.7,MAY
ITM05267,QUITIPIN TABS 200MG 30s,MWIKI,4,96.67,386.67,MARCH
ITM05848,TEARS NATURALE 15ML,MWIKI,5,609.96,"3,049.82",APRIL
ITM09062,TIMOGLAX (TIMOLOL)EYE DROPS 5ML,MWIKI,5,66.63,333.17,JUNE
ITM00430,APPEVITE FORTE 100ML,MWIKI,6,180,"1,080.00",MAY
ITM07492,OTOXIDE EAR DROPS 10ML,MWIKI,7,100,700,APRIL
ITM00664,BACTIGRAS 100MM*100MM  10S,MWIKI,9,215.28,"1,937.53",MAY
ITM03173,HEMOVIT CAPS 30s,MWIKI,10,6,60,MAY
ITM03898,MAGNESIUM SULPHATE INJ10ML 10%,MWIKI,10,61.51,615.09,JUNE
ITM06174,UNIVIR 200MG 30S,MWIKI,10,11.43,114.33,APRIL
ITM02580,FEBO G TABS 40MG 20s,MWIKI,14,89.05,"1,246.72",MARCH
ITM04438,NEUROCARE D  30S,MWIKI,15,59.33,890,FEBRUARY
ITM03481,KARVOL INHALATION CAPS 10S,MWIKI,16,59.46,951.34,MAY
ITM05791,SYLATE 500MG 18S,MWIKI,19,80.83,"1,535.83",APRIL
ITM03399,IROVEL H 30s,MWIKI,20,76.67,"1,533.33",FEBRUARY
ITM06582,ZYRTAL PLUS TABS 20S,MWIKI,20,36.55,731,JUNE
ITM04421,NERVIDOC CAPS 30S,MWIKI,21,46.67,980,JUNE
ITM02317,EMPAKEN 10MG 14S,MWIKI,24,97,"2,328.00",MAY
ITM04854,PANTAKIND TABS 40MG 60S,MWIKI,25,26.67,666.67,MARCH
ITM04199,MONTIGET 4MG  14s,MWIKI,25,35.51,887.85,JUNE
ITM03425,ITRANOX CAPS 100MG 5s,MWIKI,25,80,"2,000.00",MAY
ITM07368,DICLOFENAC SUPP 100MG 10`S (LOFNAC),MWIKI,28,19.48,545.38,JUNE
ITM05440,SAFERON PLUS TABS 30S,MWIKI,30,29.8,894,MAY
ITM02389,EPIBALIN 75MG 30`S,MWIKI,30,23.41,702.23,JUNE
ITM00675,BAROLE TABS 30S(RABEPRAZOLE),MWIKI,30,42,"1,260.00",MAY
ITM05266,QUITIPIN 50MG 30S,MWIKI,30,56.67,"1,700.00",APRIL
ITM02909,GABA 300MG 30S,MWIKI,33,14.67,484,MARCH
ITM06040,TREVIAMET TABS 50+500MG 35S,MWIKI,34,47.11,"1,601.74",APRIL
ITM05124,PREG SMILE 30s,MWIKI,35,22.01,770.23,APRIL
ITM07753,ETORICOXIB 90MG (TORIXA-MR) 20`S,MWIKI,40,80.5,"3,220.00",FEBRUARY
ITM09197,TRIXI (CEFUROXIME) 500MG TABS 10'S,MWIKI,40,28.7,"1,148.17",JUNE
ITM05438,SAFECAL TABS 30S,MWIKI,50,24.6,"1,230.00",APRIL
ITM01274,CEREGARD FORTE TABS 10S,MWIKI,50,170,"8,500.00",MARCH
ITM07067,CLAMOXIN 228.5 SUSP,MWIKI,60,229,"13,740.00",MAY
ITM03244,HYDRINE 500MG CAPS 100s,MWIKI,132,43.2,"5,702.40",FEBRUARY
ITM05960,TOFEN TABS 100s,MWIKI,140,8.52,"1,192.66",JUNE
ITM04730,OPTIVE EYE DROPS 10ML,NAKURU,1,"1,053.00","1,053.00",APRIL
ITM02620,FEROGLOBIN LIQUID 200ML,NAKURU,1,716.58,716.58,FEBRUARY
ITM07342,CTX COTRICEL 100ML,NAKURU,2,35.88,71.76,MARCH
ITM03176,HEMSAMIC 500MG INJ,NAKURU,5,190,950,FEBRUARY
ITM02715,FLORANORM SATCHETS 10'S,NAKURU,5,89.09,445.43,FEBRUARY
ITM03542,KLENZIT C GEL 15GM,NAKURU,9,"1,026.00","9,234.00",JUNE
ITM02314,EMITOSS TABS 4MG 10S,NAKURU,10,30,300,FEBRUARY
ITM03414,ITACARE 100MG 10s,NAKURU,10,119.5,"1,195.00",APRIL
ITM03155,HEDEX TABS 100s,NAKURU,10,3.2,31.97,MARCH
ITM05062,POLYGYNAX V  PESS 6S,NAKURU,12,135.33,"1,624.00",AUGUST
ITM06032,TRESDERM CREAM 30G,NAKURU,12,97.39,"1,168.67",APRIL
ITM02924,GABICA 75MG CAPS 14s,NAKURU,14,63.85,893.93,FEBRUARY
ITM02171,DOXAFIN 5MG TABS 20s,NAKURU,20,17.5,350,MARCH
ITM06001,TRAMACETAL 10S TABS,NAKURU,40,45,"1,800.00",MARCH
ITM03749,LIPITOR 20MG 30s,NAKURU,60,132.73,"7,964.00",MARCH
ITM02334,ENARIL 5MG 100S BEXIMCO,NAKURU,100,4.46,445.94,MARCH
ITM05567,SEVEN SEAS ONE A DAY 60s,NAKURU,240,29.62,"7,108.00",FEBRUARY
ITM00825,BISACODYL 5MG TABS GENERIC 28`S,NAKURU,2184,0.7,"1,519.27",FEBRUARY
ITM07193,FOSFOMAX GRANULES 3G,VOI,1,"1,504.00","1,504.00",APRIL
ITM04731,OPTIVE PLUS EYE DROP 10ML,VOI,2,"1,454.00","2,908.00",APRIL
ITM05581,SILOXOGENE GEL 180ML,VOI,2,160,320,APRIL
ITM02391,EPICOGEL SUSP 180ML,VOI,5,316.77,"1,583.86",JUNE
ITM03258,HYDRYLLIN SYP 120ML,VOI,5,171,855,JUNE
ITM08058,G DERM CREAM 20GM,VOI,5,190,950,MARCH
ITM03171,HEMOTON S SYP 250ML,VOI,8,169.15,"1,353.20",APRIL
ITM09345,OPTIVE GEL DROPS 10ML,VOI,9,"1,496.00","13,464.00",MAY
ITM03542,KLENZIT C GEL 15GM,VOI,10,"1,026.00","10,260.00",JUNE
ITM01471,CLAVULIN 457MG/5ML SUSP,VOI,10,"1,123.00","11,230.00",MAY
ITM02108,DIPROFOS INJ 2M L(ORIGINAL),VOI,11,"1,300.00","14,300.00",MAY
ITM05353,RHINATHIOL PROMETHAZINE 125ML,VOI,12,640.72,"7,688.63",MAY
ITM06355,VOMIKIND 2MG/ML INJ. 4S,VOI,16,166.59,"2,665.39",APRIL
ITM02891,FUNGITER 250MG 10S,VOI,20,62,"1,240.00",MAY
ITM09293,TOBI-D EYE DROPS,VOI,20,186,"3,720.00",MAY
ITM03868,LYDIA POST PILLS,VOI,20,35.88,717.61,MAY
ITM06581,ZYRTAL OD TABS 200MG 20s,VOI,20,38.2,764,JUNE
ITM09398,SLIMSY GUMMIES 30`S,VOI,30,28.19,845.75,MAY
ITM00805,BIOFREEZ ROLL-ON,VOI,41,405,"16,605.00",MAY
ITM01470,CLAVULIN 228/5ML SYRUP,VOI,44,808,"35,552.00",JUNE
ITM09399,SLEEP ON GUMMIES 30`S,VOI,60,28.19,"1,691.50",MAY
ITM05848,TEARS NATURALE 15ML,VOI,61,609.96,"37,207.82",JUNE
ITM02779,FLUCONAZOLE(GVFLUC) SUSP 50MG 35ML,VOI,68,224.51,"15,266.53",APRIL
ITM08842,GI KIT 7`S,VOI,70,425.57,"29,790.00",MAY
ITM05839,TASMI TABS 80MG 14S,VOI,70,94.36,"6,605.00",MAY
ITM09437,"H PYLORI KIT(ESOVIT) 7`S	",VOI,70,166.95,"11,686.71",JUNE
ITM01207,CEFUROXIME INJECTION 750MG,VOI,72,91.24,"6,569.16",MAY
ITM06032,TRESDERM CREAM 30G,VOI,88,97.39,"8,570.25",APRIL
ITM03457,JOINTACE OMEGA -3 N GLUCOSAMINE 30S,VOI,90,56.04,"5,043.74",MAY
ITM04854,PANTAKIND TABS 40MG 60S,VOI,100,26.67,"2,666.67",JUNE
ITM06096,TRIPPLE PEN 3 INJ,VOI,100,30.75,"3,075.45",JUNE
ITM02489,ESOSE TABS 20MG 10S,VOI,180,32.3,"5,814.00",APRIL
ITM02887,FUNGISIL 250MG TABS 10`S (TERBINAFINE),VOI,300,96,"28,800.00",MARCH
ITM04653,OLIGOCARE FORTE 20S,VOI,380,37.83,"14,374.65",MAY
ITM08125,SALOREX TABS 100`S,VOI,400,6.66,"2,665.39",MAY
ITM08639,ACTION ADVANCE TABLETS 100`S,VOI,500,3.6,"1,801.63",APRIL
ITM05713,SUBSYDE CR 10`S,VOI,640,9.5,"6,080.00",MAY
ITM04178,MONTANA 5MG 14S,VOI,644,56.93,"36,662.00",MAY
ITM01434,CLAMOXIN 1GM 10S,VOI,780,10.9,"8,502.00",APRIL
ITM02334,ENARIL 5MG 100S BEXIMCO,VOI,800,4.46,"3,567.52",MARCH
ITM08013,TOFEN TABS 210`S,VOI,990,10.76,"10,649.57",JUNE
ITM04177,MONTANA 10MG 14S,VOI,1302,68.21,"88,815.01",MAY
ITM02666,FIZZIMOL 500MG TABS 16S,VOI,1584,16.02,"25,372.46",MAY
ITM04672,OMEPRAZOLE 20MG CAPS(ZOCID) 100S,VOI,2700,1.32,"3,562.65",JUNE
ITM03155,HEDEX TABS 100s,VOI,5200,3.2,"16,625.70",APRIL
ITM07193,FOSFOMAX GRANULES 3G,MIHANG'O,1,"1,504.00","1,504.00",APRIL
ITM04731,OPTIVE PLUS EYE DROP 10ML,MIHANG'O,2,"1,454.00","2,908.00",APRIL
ITM05581,SILOXOGENE GEL 180ML,MIHANG'O,2,160,320,APRIL
ITM02391,EPICOGEL SUSP 180ML,MIHANG'O,5,316.77,"1,583.86",JUNE
ITM03258,HYDRYLLIN SYP 120ML,MIHANG'O,5,171,855,JUNE
ITM08058,G DERM CREAM 20GM,MIHANG'O,5,190,950,MARCH
ITM03171,HEMOTON S SYP 250ML,MIHANG'O,8,169.15,"1,353.20",APRIL
ITM09345,OPTIVE GEL DROPS 10ML,MIHANG'O,9,"1,496.00","13,464.00",MAY
ITM03542,KLENZIT C GEL 15GM,MIHANG'O,10,"1,026.00","10,260.00",JUNE
ITM01471,CLAVULIN 457MG/5ML SUSP,MIHANG'O,10,"1,123.00","11,230.00",MAY
ITM02108,DIPROFOS INJ 2M L(ORIGINAL),MIHANG'O,11,"1,300.00","14,300.00",MAY
ITM05353,RHINATHIOL PROMETHAZINE 125ML,MIHANG'O,12,640.72,"7,688.63",MAY
ITM06355,VOMIKIND 2MG/ML INJ. 4S,MIHANG'O,16,166.59,"2,665.39",APRIL
ITM02891,FUNGITER 250MG 10S,MIHANG'O,20,62,"1,240.00",MAY
ITM09293,TOBI-D EYE DROPS,MIHANG'O,20,186,"3,720.00",MAY
ITM03868,LYDIA POST PILLS,MIHANG'O,20,35.88,717.61,MAY
ITM06581,ZYRTAL OD TABS 200MG 20s,MIHANG'O,20,38.2,764,JUNE
ITM09398,SLIMSY GUMMIES 30`S,MIHANG'O,30,28.19,845.75,MAY
ITM00805,BIOFREEZ ROLL-ON,MIHANG'O,41,405,"16,605.00",MAY
ITM01470,CLAVULIN 228/5ML SYRUP,MIHANG'O,44,808,"35,552.00",JUNE
ITM09399,SLEEP ON GUMMIES 30`S,MIHANG'O,60,28.19,"1,691.50",MAY
ITM05848,TEARS NATURALE 15ML,MIHANG'O,61,609.96,"37,207.82",JUNE
ITM02779,FLUCONAZOLE(GVFLUC) SUSP 50MG 35ML,MIHANG'O,68,224.51,"15,266.53",APRIL
ITM08842,GI KIT 7`S,MIHANG'O,70,425.57,"29,790.00",MAY
ITM05839,TASMI TABS 80MG 14S,MIHANG'O,70,94.36,"6,605.00",MAY
ITM09437,"H PYLORI KIT(ESOVIT) 7`S	",MIHANG'O,70,166.95,"11,686.71",JUNE
ITM01207,CEFUROXIME INJECTION 750MG,MIHANG'O,72,91.24,"6,569.16",MAY
ITM06032,TRESDERM CREAM 30G,MIHANG'O,88,97.39,"8,570.25",APRIL
ITM03457,JOINTACE OMEGA -3 N GLUCOSAMINE 30S,MIHANG'O,90,56.04,"5,043.74",MAY
ITM04854,PANTAKIND TABS 40MG 60S,MIHANG'O,100,26.67,"2,666.67",JUNE
ITM06096,TRIPPLE PEN 3 INJ,MIHANG'O,100,30.75,"3,075.45",JUNE
ITM02489,ESOSE TABS 20MG 10S,MIHANG'O,180,32.3,"5,814.00",APRIL
ITM02887,FUNGISIL 250MG TABS 10`S (TERBINAFINE),MIHANG'O,300,96,"28,800.00",MARCH
ITM04653,OLIGOCARE FORTE 20S,MIHANG'O,380,37.83,"14,374.65",MAY
ITM08125,SALOREX TABS 100`S,MIHANG'O,400,6.66,"2,665.39",MAY
ITM08639,ACTION ADVANCE TABLETS 100`S,MIHANG'O,500,3.6,"1,801.63",APRIL
ITM05713,SUBSYDE CR 10`S,MIHANG'O,640,9.5,"6,080.00",MAY
ITM04178,MONTANA 5MG 14S,MIHANG'O,644,56.93,"36,662.00",MAY
ITM01434,CLAMOXIN 1GM 10S,MIHANG'O,780,10.9,"8,502.00",APRIL
ITM02334,ENARIL 5MG 100S BEXIMCO,MIHANG'O,800,4.46,"3,567.52",MARCH
ITM08013,TOFEN TABS 210`S,MIHANG'O,990,10.76,"10,649.57",JUNE
ITM04177,MONTANA 10MG 14S,MIHANG'O,1302,68.21,"88,815.01",MAY
ITM02666,FIZZIMOL 500MG TABS 16S,MIHANG'O,1584,16.02,"25,372.46",MAY
ITM04672,OMEPRAZOLE 20MG CAPS(ZOCID) 100S,MIHANG'O,2700,1.32,"3,562.65",JUNE
ITM03155,HEDEX TABS 100s,MIHANG'O,5200,3.2,"16,625.70",APRIL
ITM00851,BONJELA TEETHING GEL ADULT,THIKA,1,"1,219.93","1,219.93",JULY
ITM02779,FLUCONAZOLE(GVFLUC) SUSP 50MG 35ML,THIKA,1,224.51,224.51,APRIL
ITM01959,DEPO MEDROL 40MG,THIKA,1,760,760,MAY
ITM00852,BONJELA TEETHING GEL CHILD,THIKA,1,"1,076.41","1,076.41",JULY
ITM02577,FASTUM GEL 50GM,THIKA,1,"1,080.00","1,080.00",APRIL
ITM02803,FLUSORT NASAL SPRAY 50MCG/120MD,THIKA,1,757,757,JUNE
ITM05304,REDAMOX 228 5MG 70ML,THIKA,1,117.89,117.89,MAY
ITM05636,SOLUZINC SYP 100ML,THIKA,1,101.49,101.49,JUNE
ITM09293,TOBI-D EYE DROPS,THIKA,2,186,372,MAY
ITM05315,RELESTAT EYE DROPS,THIKA,2,"1,496.00","2,992.00",MAY
ITM05885,TERBEX CREAM 15GM,THIKA,2,463,926,APRIL
ITM01478,CLEAR T GEL 20G,THIKA,2,538.2,"1,076.41",JULY
ITM03197,HILDERM CH 30GM,THIKA,2,173.25,346.5,MAY
ITM05944,TINILOX-MPS SUSP 100ML,THIKA,2,242,484,FEBRUARY
ITM08916,MISFA D3 DROPS 30ML,THIKA,2,512.58,"1,025.15",JUNE
ITM00075,ACTIFIED COLD SYRUP 100ML,THIKA,3,383.41,"1,150.22",MAY
ITM00338,AMOXICILLIN SUSP 60ML(MOXIMED),THIKA,3,36.91,110.72,FEBRUARY
ITM02391,EPICOGEL SUSP 180ML,THIKA,4,316.77,"1,267.09",JUNE
ITM03171,HEMOTON S SYP 250ML,THIKA,4,169.15,676.6,JUNE
ITM06281,VIFEX SYP 100ML,THIKA,4,219,876,JULY
ITM02620,FEROGLOBIN LIQUID 200ML,THIKA,4,716.58,"2,866.32",FEBRUARY
ITM03589,LACOFF CODEIN SYP 60ML,THIKA,4,128.14,512.58,JULY
ITM06090,TRIOKIT KIT 4S,THIKA,4,212.5,850,FEBRUARY
ITM05714,SUBSYDE GEL,THIKA,5,287.04,"1,435.21",FEBRUARY
ITM03258,HYDRYLLIN SYP 120ML,THIKA,5,171,855,JUNE
ITM09345,OPTIVE GEL DROPS 10ML,THIKA,5,"1,496.00","7,480.00",MAY
ITM05353,RHINATHIOL PROMETHAZINE 125ML,THIKA,5,640.72,"3,203.59",MAY
ITM04177,MONTANA 10MG 14S,THIKA,5,68.21,341.07,MAY
ITM06110,TUSICOF PAED 100ML,THIKA,5,102.52,512.58,FEBRUARY
ITM05623,SOFTEAL SOLUTION 10ML,THIKA,5,240,"1,200.00",MAY
ITM01000,CAPSIFENAC GEL 10G,THIKA,5,133.27,666.35,MAY
ITM01924,DEEP FREEZE COLD GEL 35G,THIKA,5,393.66,"1,968.29",APRIL
ITM02241,DYNAPAR QPS 30ML SPRAY,THIKA,5,"1,300.00","6,500.00",JULY
ITM00977,CANDID EAR DROPS 15ML,THIKA,6,172,"1,032.00",JULY
ITM05979,CPM TORAMIN 60ML,THIKA,6,26.65,159.92,APRIL
ITM00129,ADOVAS SYP 100ML HERBAL,THIKA,7,248.68,"1,740.73",FEBRUARY
ITM09076,ZOKIT 7'S,THIKA,7,105,735,FEBRUARY
ITM01469,CLAVULIN 1GM 14S,THIKA,7,140.21,981.5,MAY
ITM05848,TEARS NATURALE 15ML,THIKA,8,609.96,"4,879.71",MAY
ITM03257,HYDRYLLIN DM SYP 120ML,THIKA,8,186,"1,488.00",JULY
ITM05537,SENSODYNE MULTI CARE 40ML,THIKA,8,240.91,"1,927.28",MAY
ITM02760,FLUCONAZOLE FLUGAL SUSP,THIKA,9,271.66,"2,444.98",MAY
ITM06109,TUSICOF CHESTY SYP 100ML,THIKA,9,102.52,922.64,FEBRUARY
ITM00805,BIOFREEZ ROLL-ON,THIKA,10,405,"4,050.00",MAY
ITM06032,TRESDERM CREAM 30G,THIKA,10,97.39,973.89,APRIL
ITM02109,DIPROFOS INJ GENERIC,THIKA,10,590.49,"5,904.86",MAY
ITM03542,KLENZIT C GEL 15GM,THIKA,11,"1,026.00","11,286.00",FEBRUARY
ITM06096,TRIPPLE PEN 3 INJ,THIKA,11,30.75,338.3,JUNE
ITM00431,APPEVITE SYP 200ML,THIKA,11,260,"2,860.00",MAY
ITM00801,BIOCOF SYP 60ML,THIKA,12,41.01,492.07,MAY
ITM03776,LIZOLID 600MG TABS 12S,THIKA,12,430.67,"5,168.00",APRIL
ITM04469,NEXIUM 40MG 14s,THIKA,14,73.15,"1,024.12",FEBRUARY
ITM02243,DYRADE  M SUSP 100ML,THIKA,18,245,"4,410.00",JUNE
ITM06166,UNIORTHO 500MG TABS 10S,THIKA,20,148,"2,960.00",APRIL
ITM05295,RASEC MR TABS 10S,THIKA,20,66,"1,320.00",JUNE
ITM03705,LEVOFLOXACIN(UTIVANIC)750MG 10S,THIKA,20,82.5,"1,650.00",FEBRUARY
ITM04796,OVACARE FORTE 20S,THIKA,20,49.46,989.27,MAY
ITM07122,INOSITA PLUS 50/500MG TABS 28`s,THIKA,28,60,"1,680.00",FEBRUARY
ITM01596,COEMPAKEN 5/500 14S,THIKA,28,57.07,"1,598.00",JUNE
ITM04438,NEUROCARE D  30S,THIKA,30,59.33,"1,780.00",FEBRUARY
ITM05438,SAFECAL TABS 30S,THIKA,30,24.6,738,APRIL
ITM00575,AVALIFE ADVANCE RESCUE CAPS 30S,THIKA,30,47.2,"1,416.00",APRIL
ITM02118,DIRACIP 100ML SYP,THIKA,30,259.51,"7,785.30",JUNE
ITM03883,LYSOFLAM  30S,THIKA,30,20.33,609.96,APRIL
ITM04775,OSTEOCARE CHEWABLE 30S,THIKA,30,32.5,975,JUNE
ITM05052,PLUS MULTIVITAMIN CAPS 30`S,THIKA,30,29.3,879,JUNE
ITM08397,CILNEED 20CT TABLETS 30`S,THIKA,30,39.8,"1,194.00",APRIL
ITM02666,FIZZIMOL 500MG TABS 16S,THIKA,32,16.02,512.58,MAY
ITM02293,ELYFLOX DRY SYRUP 100ML (FLUCLOXACILLIN),THIKA,34,80.19,"2,726.29",JULY
ITM08842,GI KIT 7`S,THIKA,35,425.57,"14,895.00",MAY
ITM04458,NEXIKEN KIT 7s,THIKA,35,372,"13,020.00",FEBRUARY
ITM03419,ITRACONAZOLE CAPS 4S (ITRANOX)100MG,THIKA,36,90,"3,240.00",MAY
ITM03113,"GYNAECOLOGICAL GLOVES(SIZE 7 5"")",THIKA,49,138.4,"6,781.37",JULY
ITM05851,TEGRETOL CR TABS 200MG 50s,THIKA,50,27.54,"1,377.00",JUNE
ITM03173,HEMOVIT CAPS 30s,THIKA,60,6,360,JUNE
ITM00032,ACECOR P TABS 30S,THIKA,60,17,"1,020.00",MAY
ITM05566,SEVEN SEAS OAD HS CAPS 60s,THIKA,60,23.83,"1,430.00",FEBRUARY
ITM08915,MISFAJOIN TABS 30`S,THIKA,60,41.01,"2,460.36",JUNE
ITM00942,CADISTIN SYP PLUS 100ML,THIKA,77,184.53,"14,208.58",JULY
ITM09334,"VOMIKIND 4MG/2ML INJ. 4S	",THIKA,104,159,"16,536.00",APRIL
ITM08803,SOLO 4MG SACHETS 14`S,THIKA,126,49.71,"6,264.00",MAY
ITM02317,EMPAKEN 10MG 14S,THIKA,140,97,"13,580.00",MAY
ITM02154,DOMADOL PLUS TABS 100s,THIKA,140,15.38,"2,152.82",JUNE
ITM01595,COEMPAKEN 5/1000 14S,THIKA,140,64.21,"8,990.00",JUNE
ITM07713,HYOMIDE PLUS 40`S,THIKA,150,24.35,"3,652.10",JULY
ITM08791,ALLNYT TABLETS 20`S,THIKA,170,2.56,435.69,JULY
ITM05298,RAZID M 20MG 20,THIKA,180,73.6,"13,248.00",JULY
ITM08125,SALOREX TABS 100`S,THIKA,200,6.66,"1,332.70",MAY
ITM05869,TELMICOS-H 30 TABS 30s,THIKA,210,28.19,"5,920.24",JUNE
ITM04178,MONTANA 5MG 14S,THIKA,224,56.93,"12,752.00",MAY
ITM01434,CLAMOXIN 1GM 10S,THIKA,280,10.9,"3,052.00",APRIL
ITM01611,COLDAMOL CAPS 10s,THIKA,280,7.07,"1,980.59",FEBRUARY
ITM09100,ETORICOXIB TORY 60MG 30S,THIKA,320.001,27.68,"8,857.32",JUNE
ITM08156,CO-AMOXICLAV WINCLAV 625MG TABS 10`S,THIKA,380,19.18,"7,289.73",JULY
ITM08639,ACTION ADVANCE TABLETS 100`S,THIKA,540,3.6,"1,945.76",JUNE
ITM07060,FALCIDIN TABLETS 3`S,THIKA,549,19.48,"10,693.34",JUNE
ITM02032,DIAPHAGE 850MG TABS 30S,THIKA,690,4.72,"3,253.83",JUNE
ITM05581,SILOXOGENE GEL 180ML,KITENGELA,1,160,160,APRIL
ITM09398,SLIMSY GUMMIES 30`S,KITENGELA,1,28.19,28.19,MAY
ITM07504,SCABIL LOTION 100ML,KITENGELA,1,50,50,MAY
ITM07261,EPIMAR SYRUP 300ML,KITENGELA,2,973.89,"1,947.79",JANUARY
ITM08058,G DERM CREAM 20GM,KITENGELA,3,190,570,MARCH
ITM02285,ELICA OINT 30G,KITENGELA,3,850,"2,550.00",JANUARY
ITM02391,EPICOGEL SUSP 180ML,KITENGELA,4,316.77,"1,267.09",JUNE
ITM03419,ITRACONAZOLE CAPS 4S (ITRANOX)100MG,KITENGELA,4,90,360,MAY
ITM01471,CLAVULIN 457MG/5ML SUSP,KITENGELA,4,"1,123.00","4,492.00",MAY
ITM01470,CLAVULIN 228/5ML SYRUP,KITENGELA,4,808,"3,232.00",JUNE
ITM07809,WOODWARD`S PARACETAMOL SYRUP 100ML,KITENGELA,4,129,516,JUNE
ITM05944,TINILOX-MPS SUSP 100ML,KITENGELA,5,242,"1,210.00",FEBRUARY
ITM05714,SUBSYDE GEL,KITENGELA,5,287.04,"1,435.21",FEBRUARY
ITM05623,SOFTEAL SOLUTION 10ML,KITENGELA,5,240,"1,200.00",MAY
ITM03257,HYDRYLLIN DM SYP 120ML,KITENGELA,5,186,930,JUNE
ITM03970,MEFNAC SUSP 60ML,KITENGELA,5,112.77,563.83,JUNE
ITM05165,PRIMOLUT DEPOT 250MG/1ML AMP INJ ,KITENGELA,5,974.92,"4,874.59",JULY
ITM06492,ZEROVER SYP 100ML,KITENGELA,5,176,880,FEBRUARY
ITM09345,OPTIVE GEL DROPS 10ML,KITENGELA,6,"1,496.00","8,976.00",MAY
ITM00977,CANDID EAR DROPS 15ML,KITENGELA,6,172,"1,032.00",JULY
ITM00801,BIOCOF SYP 60ML,KITENGELA,6,41.01,246.04,MAY
ITM06445,YESCORT SUSP 100ML,KITENGELA,6,973.89,"5,843.36",JUNE
ITM02893,FUNGITER CREAM 15 GMS,KITENGELA,6,310,"1,860.00",JANUARY
ITM00800,BIOCOF SYP 100ML,KITENGELA,6,50.75,304.5,MAY
ITM03174,HEMOVIT SYP 200ML,KITENGELA,6,233,"1,398.00",JULY
ITM03171,HEMOTON S SYP 250ML,KITENGELA,7,169.15,"1,184.05",JUNE
ITM01000,CAPSIFENAC GEL 10G,KITENGELA,7,133.27,932.89,MAY
ITM04199,MONTIGET 4MG  14s,KITENGELA,7,35.51,248.6,MAY
ITM09418,RABEZOLE DSR CAPS 10`S (RABEPRAZOLE+DOMPERIDONE),KITENGELA,7,17.94,125.58,MAY
ITM03127,H PYLORI KIT(LAEKIT) 7S,KITENGELA,7,314.29,"2,200.00",MARCH
ITM03542,KLENZIT C GEL 15GM,KITENGELA,9,"1,026.00","9,234.00",JUNE
ITM06109,TUSICOF CHESTY SYP 100ML,KITENGELA,10,102.52,"1,025.15",FEBRUARY
ITM06166,UNIORTHO 500MG TABS 10S,KITENGELA,10,148,"1,480.00",APRIL
ITM02489,ESOSE TABS 20MG 10S,KITENGELA,10,32.3,323,JANUARY
ITM05267,QUITIPIN TABS 200MG 30s,KITENGELA,10,96.67,966.67,JULY
ITM07367,OFLOXACIN + ORNIDAZOLE (IMMOBIOTIC TABS) 10`S,KITENGELA,10,9.23,92.26,MARCH
ITM01083,CATAFLAM 50MG 100S,KITENGELA,10,60.58,605.8,JUNE
ITM02936,GALVUSMET 50/1000MG 30S,KITENGELA,10,120.3,"1,203.00",FEBRUARY
ITM03414,ITACARE 100MG 10s,KITENGELA,10,119.5,"1,195.00",JANUARY
ITM07237,SOLUMOL 1G/100ML INFUSION,KITENGELA,10,426,"4,260.00",JANUARY
ITM02106,DIPIFER SYP 200ML,KITENGELA,10,343.43,"3,434.25",FEBRUARY
ITM03577,KUIN TABS 10S CIPROFLOXACIN,KITENGELA,10,388,"3,880.00",APRIL
ITM05200,PROMIMBA -M TABS 30S,KITENGELA,10,113.17,"1,131.67",JANUARY
ITM07864,LABNIR DRY SUSP 125MG/5ML 60ML,KITENGELA,10,507.45,"5,074.49",JANUARY
ITM08483,SYPHILIS RAPID TEST STRIPS WB/SERUM/PLASMA 50`S,KITENGELA,10,"1,281.44","12,814.38",JANUARY
ITM06281,VIFEX SYP 100ML,KITENGELA,11,219,"2,409.00",JUNE
ITM08816,NOVACOL INFANT DROPS,KITENGELA,12,194.78,"2,337.34",FEBRUARY
ITM05848,TEARS NATURALE 15ML,KITENGELA,14,609.96,"8,539.50",JUNE
ITM06456,ZALAC SP TABS 28S,KITENGELA,14,25.45,356.24,APRIL
